Sample-#, CA-V, CA-I, CB-V, CB-I 
0.00102, 1.99986314774, 0.0, 0.044150352478, 0.0
0.001025, 1.99978506565, 0.0, 0.0689678192139, 0.0
0.00103, 1.99986314774, 0.0, 0.0741186141968, 0.0
0.001035, 1.99970686436, 0.0, 0.0600709915161, 0.0
0.00104, 1.99994134903, 0.0, 0.0315856933594, 0.0
0.001045, 1.99970686436, 0.0, -0.00283074378967, 0.0
0.00105, 1.99986314774, 0.0, -0.0342814922333, 0.0
0.001055, 1.99978506565, 0.0, -0.054962515831, 0.0
0.00106, 1.99978506565, 0.0, -0.0604254007339, 0.0
0.001065, 1.99978506565, 0.0, -0.0505141019821, 0.0
0.00107, 1.99986314774, 0.0, -0.0288186073303, 0.0
0.001075, 1.99986314774, 0.0, -0.00189423561096, 0.0
0.00108, 1.99994134903, 0.0, 0.0230791568756, 0.0
0.001085, 1.99986314774, 0.0, 0.0401701927185, 0.0
0.00109, 1.99986314774, 0.0, 0.0455551147461, 0.0
0.001095, 1.99986314774, 0.0, 0.0388436317444, 0.0
0.0011, 1.99994134903, 0.0, 0.0222988128662, 0.0
0.001105, 1.99986314774, 0.0, 0.00146150588989, 0.0
0.00111, 1.99986314774, 0.0, -0.0186731815338, 0.0
0.001115, 1.99978506565, 0.0, -0.0326426029205, 0.0
0.00112, 1.99978506565, 0.0, -0.0377933979034, 0.0
0.001125, 1.99978506565, 0.0, -0.0331889390945, 0.0
0.00113, 1.99994134903, 0.0, -0.0207022428513, 0.0
0.001135, 1.99978506565, 0.0, -0.00431346893311, 0.0
0.00114, 1.99986314774, 0.0, 0.011528968811, 0.0
0.001145, 1.99970686436, 0.0, 0.0230791568756, 0.0
0.00115, 1.99978506565, 0.0, 0.0276055335999, 0.0
0.001155, 1.99978506565, 0.0, 0.0247180461884, 0.0
0.00116, 1.99986314774, 0.0, 0.0151970386505, 0.0
0.001165, 1.99970686436, 0.0, 0.00247621536255, 0.0
0.00117, 1.99994134903, 0.0, -0.0100885629654, 0.0
0.001175, 1.99978506565, 0.0, -0.0195316076279, 0.0
0.00118, 1.99986314774, 0.0, -0.0236678123474, 0.0
0.001185, 1.99978506565, 0.0, -0.02163875103, 0.0
0.00119, 1.99986314774, 0.0, -0.0146930217743, 0.0
0.001195, 1.99978506565, 0.0, -0.00478172302246, 0.0
0.0012, 1.99994134903, 0.0, 0.00528573989868, 0.0
0.001205, 1.99970686436, 0.0, 0.0128557682037, 0.0
0.00121, 1.99986314774, 0.0, 0.0164456367493, 0.0
0.001215, 1.99986314774, 0.0, 0.0153529644012, 0.0
0.00122, 1.99994134903, 0.0, 0.010124206543, 0.0
0.001225, 1.99986314774, 0.0, 0.00247621536255, 0.0
0.00123, 1.99986314774, 0.0, -0.00548410415649, 0.0
0.001235, 1.99978506565, 0.0, -0.0118055343628, 0.0
0.00124, 1.99986314774, 0.0, -0.0148490667343, 0.0
0.001245, 1.99978506565, 0.0, -0.0141466856003, 0.0
0.00125, 1.99994134903, 0.0, -0.0103226900101, 0.0
0.001255, 1.99978506565, 0.0, -0.00446951389313, 0.0
0.00126, 1.99994134903, 0.0, 0.00192975997925, 0.0
0.001265, 1.99970686436, 0.0, 0.00700259208679, 0.0
0.00127, 1.99978506565, 0.0, 0.00965595245361, 0.0
0.001275, 1.99978506565, 0.0, 0.00934386253357, 0.0
0.00128, 1.99978506565, 0.0, 0.00637817382813, 0.0
0.001285, 1.99978506565, 0.0, 0.00185179710388, 0.0
0.00129, 1.99986314774, 0.0, -0.00314283370972, 0.0
0.001295, 1.99978506565, 0.0, -0.00727903842926, 0.0
0.0013, 1.99978506565, 0.0, -0.00954222679138, 0.0
0.001305, 1.99970686436, 0.0, -0.00938618183136, 0.0
0.00131, 1.99978506565, 0.0, -0.00727903842926, 0.0
